MonsterTypeId,HitPoints,CritRate,ActionPoints,MovePoints,InitBonus,MaxTalentCount,FlankAllowance,SightDistance,DetectDistance,ShotLimit,EffectId,WeaponTypeId,ArmorTypeId,_comment
161,270,12,40,20,1,2,65,18,10,1,,20001,901001,PG 160 FireCOM PL 2  eff:0  armour:adaptive weapon:guard-rifle
162,290,14,40,20,2,2,70,18,10,1,,20002,901002,PG 160 FireCOM PL 3  eff:0  armour:adaptive weapon:guard-rifle
163,310,16,40,20,2,2,75,18,10,1,,20003,901003,PG 160 FireCOM PL 4  eff:0  armour:adaptive weapon:guard-rifle
164,330,18,40,20,3,2,80,18,10,2,,20004,901004,PG 160 FireCOM PL 5  eff:0  armour:adaptive weapon:guard-rifle
165,360,20,40,20,4,2,86,18,10,2,,20005,901005,PG 160 FireCOM PL 6  eff:0  armour:adaptive weapon:guard-rifle
166,400,22,40,20,5,2,90,18,10,2,,20006,901006,PG 160 FireCOM PL 7  eff:0  armour:adaptive weapon:guard-rifle
167,440,24,40,20,6,2,90,18,10,3,,20007,901007,PG 160 FireCOM PL 8  eff:0  armour:adaptive weapon:guard-rifle
168,480,26,40,20,6,2,90,18,10,3,,20008,901008,PG 160 FireCOM PL 9  eff:0  armour:adaptive weapon:guard-rifle
169,510,30,40,20,7,2,90,18,10,3,,20009,901009,PG 160 FireCOM PL 10  eff:0  armour:adaptive weapon:guard-rifle
170,540,32,40,20,8,2,93,18,10,3,,20010,901010,PG 160 FireCOM PL 11  eff:0  armour:adaptive weapon:guard-rifle
171,570,34,40,20,8,2,97,18,10,3,,20011,901011,PG 160 FireCOM PL 12  eff:0  armour:adaptive weapon:guard-rifle
172,600,37,40,20,9,2,100,18,10,4,,20012,901012,PG 160 FireCOM PL 13  eff:0  armour:adaptive weapon:guard-rifle
173,640,39,40,20,10,2,103,18,10,4,,20013,901013,PG 160 FireCOM PL 14  eff:0  armour:adaptive weapon:guard-rifle
174,680,41,40,20,10,2,107,18,10,4,,20014,901014,PG 160 FireCOM PL 15  eff:0  armour:adaptive weapon:guard-rifle
175,720,43,40,20,11,2,110,18,10,4,,20015,901015,PG 160 FireCOM PL 16  eff:0  armour:adaptive weapon:guard-rifle
176,760,46,40,20,12,2,113,18,10,5,,20016,901016,PG 160 FireCOM PL 17  eff:0  armour:adaptive weapon:guard-rifle
177,810,48,40,20,12,2,117,18,10,5,,20017,901017,PG 160 FireCOM PL 18  eff:0  armour:adaptive weapon:guard-rifle
178,860,50,40,20,13,2,120,18,10,5,,20018,901018,PG 160 FireCOM PL 19  eff:0  armour:adaptive weapon:guard-rifle
179,910,52,40,20,14,2,123,18,10,5,,20019,901019,PG 160 FireCOM PL 20  eff:0  armour:adaptive weapon:guard-rifle
180,340,32,40,30,8,2,118,22,10,3,64110,900030,22106,PG 150 Divergent PL 11  eff:64108  armour:sniper weapon:corp-smg
181,360,34,40,30,8,2,121,22,10,3,64110,900031,22107,PG 150 Divergent PL 12  eff:64108  armour:sniper weapon:corp-smg
182,380,37,40,30,9,2,123,22,10,4,64110,900032,22108,PG 150 Divergent PL 13  eff:64109  armour:sniper weapon:corp-smg
183,400,39,40,30,10,2,126,22,10,4,64110,900033,22109,PG 150 Divergent PL 14  eff:64109  armour:sniper weapon:corp-smg
184,420,41,40,30,10,2,129,22,10,4,64110,900034,22110,PG 150 Divergent PL 15  eff:64110  armour:sniper weapon:corp-smg
185,440,43,40,30,11,2,132,22,10,4,64110,900035,22111,PG 150 Divergent PL 16  eff:64110  armour:sniper weapon:corp-smg
186,460,46,40,30,12,2,134,22,10,5,64110,900036,22112,PG 150 Divergent PL 17  eff:64110  armour:sniper weapon:corp-smg
187,490,48,40,30,12,2,137,22,10,5,64110,900037,22113,PG 150 Divergent PL 18  eff:64110  armour:sniper weapon:corp-smg
188,520,50,40,30,13,2,140,22,10,5,64110,900038,22114,PG 150 Divergent PL 19  eff:64110  armour:sniper weapon:corp-smg
189,550,52,40,30,14,2,143,22,10,5,64110,900039,22115,PG 150 Divergent PL 20  eff:64110  armour:sniper weapon:corp-smg
200,200,20,40,20,0,2,90,22,10,1,,900170,22100,PG 200 Guard Sniper PL 1  eff:0  armour:sniper weapon:sniper6
201,210,21,40,20,1,2,100,22,10,1,,900171,22101,PG 200 Guard Sniper PL 2  eff:0  armour:sniper weapon:sniper6
202,220,22,40,20,1,2,110,22,10,1,,900172,22102,PG 200 Guard Sniper PL 3  eff:0  armour:sniper weapon:sniper6
203,230,23,40,20,2,2,120,22,10,1,,900173,22103,PG 200 Guard Sniper PL 4  eff:0  armour:sniper weapon:sniper6
204,240,24,40,20,3,2,130,22,10,1,,900174,22104,PG 200 Guard Sniper PL 5  eff:0  armour:sniper weapon:sniper6
205,250,25,40,20,3,2,140,22,10,2,,900175,22105,PG 200 Guard Sniper PL 6  eff:0  armour:sniper weapon:sniper6
206,270,26,40,20,4,2,150,22,10,2,,900176,22116,PG 200 Guard Sniper PL 7  eff:0  armour:sniper weapon:sniper6
207,290,27,40,20,4,2,160,22,10,2,,900177,22117,PG 200 Guard Sniper PL 8  eff:0  armour:sniper weapon:sniper6
208,310,28,40,20,4,2,170,22,10,2,,900178,22118,PG 200 Guard Sniper PL 9  eff:0  armour:sniper weapon:sniper6
209,330,29,40,20,5,2,180,22,10,2,,900179,22119,PG 200 Guard Sniper PL 10  eff:0  armour:sniper weapon:sniper6
210,340,30,40,20,6,2,190,22,10,2,,900000,22106,PG 200 Guard Sniper PL 11  eff:0  armour:sniper weapon:sniper6
211,360,31,40,20,6,2,200,22,10,2,,900001,22107,PG 200 Guard Sniper PL 12  eff:0  armour:sniper weapon:sniper6
212,380,32,40,20,7,2,210,22,10,2,,900002,22108,PG 200 Guard Sniper PL 13  eff:0  armour:sniper weapon:sniper6
213,400,33,40,20,7,2,220,22,10,2,,900003,22109,PG 200 Guard Sniper PL 14  eff:0  armour:sniper weapon:sniper6
214,420,34,40,20,8,2,230,22,10,3,,900004,22110,PG 200 Guard Sniper PL 15  eff:0  armour:sniper weapon:sniper6
215,440,35,40,20,8,2,240,22,10,3,,900005,22111,PG 200 Guard Sniper PL 16  eff:0  armour:sniper weapon:sniper6
216,470,36,40,20,9,2,250,22,10,3,,900006,22112,PG 200 Guard Sniper PL 17  eff:0  armour:sniper weapon:sniper6
217,500,37,40,20,9,2,260,22,10,3,,900007,22113,PG 200 Guard Sniper PL 18  eff:0  armour:sniper weapon:sniper6
218,530,38,40,20,10,2,270,22,10,3,,900008,22114,PG 200 Guard Sniper PL 19  eff:0  armour:sniper weapon:sniper6
219,560,39,40,20,11,2,280,22,10,3,,900009,22115,PG 200 Guard Sniper PL 20  eff:0  armour:sniper weapon:sniper6
300,250,15,40,20,0,2,90,18,10,1,,900160,901000,PG 300 Guard Bladesman PL 1  eff:0  armour:adaptive weapon:blade5
301,270,17,40,20,1,2,90,18,10,1,,900161,901001,PG 300 Guard Bladesman PL 2  eff:0  armour:adaptive weapon:blade5
302,280,19,40,20,1,2,90,18,10,1,,900162,901002,PG 300 Guard Bladesman PL 3  eff:0  armour:adaptive weapon:blade5
303,290,21,40,20,2,2,90,18,10,2,,900163,901003,PG 300 Guard Bladesman PL 4  eff:0  armour:adaptive weapon:blade5
304,300,23,40,20,3,2,90,18,10,2,,900164,901004,PG 300 Guard Bladesman PL 5  eff:0  armour:adaptive weapon:blade5
305,320,25,40,20,3,2,90,18,10,2,,900165,901005,PG 300 Guard Bladesman PL 6  eff:0  armour:adaptive weapon:blade5
306,340,30,40,20,4,2,90,18,10,2,,900166,901006,PG 300 Guard Bladesman PL 7  eff:0  armour:adaptive weapon:blade5
307,360,35,40,20,4,2,90,18,10,3,,900167,901007,PG 300 Guard Bladesman PL 8  eff:0  armour:adaptive weapon:blade5
308,380,40,40,20,4,2,90,18,10,3,,900168,901008,PG 300 Guard Bladesman PL 9  eff:0  armour:adaptive weapon:blade5
309,400,45,40,20,5,2,90,18,10,3,,900169,901009,PG 300 Guard Bladesman PL 10  eff:0  armour:adaptive weapon:blade5
310,420,48,40,20,6,2,90,18,10,3,,900010,901010,PG 300 Guard Bladesman PL 11  eff:0  armour:adaptive weapon:blade5
311,450,52,40,20,6,2,90,18,10,3,,900011,901011,PG 300 Guard Bladesman PL 12  eff:0  armour:adaptive weapon:blade5
312,480,55,40,20,7,2,90,18,10,4,,900012,901012,PG 300 Guard Bladesman PL 13  eff:0  armour:adaptive weapon:blade5
313,510,58,40,20,7,2,90,18,10,4,,900013,901013,PG 300 Guard Bladesman PL 14  eff:0  armour:adaptive weapon:blade5
314,540,62,40,20,8,2,90,18,10,4,,900014,901014,PG 300 Guard Bladesman PL 15  eff:0  armour:adaptive weapon:blade5
315,570,65,40,20,8,2,90,18,10,4,,900015,901015,PG 300 Guard Bladesman PL 16  eff:0  armour:adaptive weapon:blade5
316,600,68,40,20,9,2,90,18,10,5,,900016,901016,PG 300 Guard Bladesman PL 17  eff:0  armour:adaptive weapon:blade5
317,640,72,40,20,9,2,90,18,10,5,,900017,901017,PG 300 Guard Bladesman PL 18  eff:0  armour:adaptive weapon:blade5
318,680,75,40,20,10,2,90,18,10,5,,900018,901018,PG 300 Guard Bladesman PL 19  eff:0  armour:adaptive weapon:blade5
319,720,78,40,20,11,2,90,18,10,5,,900019,901019,PG 300 Guard Bladesman PL 20  eff:0  armour:adaptive weapon:blade5
400,240,10,40,20,2,3,90,20,10,1,64158,23030,901020,PG 400 Guard Captain PL 1  eff:64158  armour:heavy weapon:bullpup
401,260,12,40,20,2,3,90,20,10,1,64158,23031,901021,PG 400 Guard Captain PL 2  eff:64158  armour:heavy weapon:bullpup
402,280,14,40,20,3,3,95,20,10,1,64158,23032,901022,PG 400 Guard Captain PL 3  eff:64158  armour:heavy weapon:bullpup
403,300,16,40,20,3,3,95,20,10,1,64158,23033,901023,PG 400 Guard Captain PL 4  eff:64158  armour:heavy weapon:bullpup
404,320,18,40,30,4,3,100,20,10,2,64158,23034,901024,PG 400 Guard Captain PL 5  eff:64158  armour:heavy weapon:bullpup
405,350,20,40,30,4,3,100,20,10,2,64158,23035,901025,PG 400 Guard Captain PL 6  eff:64158  armour:heavy weapon:bullpup
406,380,22,40,30,5,3,105,20,10,2,64158,23036,901026,PG 400 Guard Captain PL 7  eff:64158  armour:heavy weapon:bullpup
407,410,24,40,30,6,3,105,20,10,3,64158,23037,901027,PG 400 Guard Captain PL 8  eff:64158  armour:heavy weapon:bullpup
408,450,26,40,30,7,3,110,20,10,3,64158,23038,901028,PG 400 Guard Captain PL 9  eff:64158  armour:heavy weapon:bullpup
409,500,30,40,30,7,3,115,20,10,3,64158,23039,901029,PG 400 Guard Captain PL 10  eff:64158  armour:heavy weapon:bullpup
410,540,32,40,30,8,3,118,20,10,3,64158,23040,901030,PG 400 Guard Captain PL 11  eff:64158  armour:heavy weapon:bullpup
411,580,34,40,30,8,3,121,20,10,3,64158,23041,901031,PG 400 Guard Captain PL 12  eff:64158  armour:heavy weapon:bullpup
412,630,37,40,30,9,3,123,20,10,4,64158,23042,901032,PG 400 Guard Captain PL 13  eff:64158  armour:heavy weapon:bullpup
413,680,39,40,30,9,3,126,20,10,4,64158,23043,901033,PG 400 Guard Captain PL 14  eff:64158  armour:heavy weapon:bullpup
414,730,41,40,40,10,3,129,20,10,4,64158,23044,901034,PG 400 Guard Captain PL 15  eff:64158  armour:heavy weapon:bullpup
415,790,43,40,40,10,3,132,20,10,4,64158,23045,901035,PG 400 Guard Captain PL 16  eff:64158  armour:heavy weapon:bullpup
416,850,46,40,40,11,3,134,20,10,5,64158,23046,901036,PG 400 Guard Captain PL 17  eff:64158  armour:heavy weapon:bullpup
417,920,48,40,40,11,3,137,20,10,5,64158,23047,901037,PG 400 Guard Captain PL 18  eff:64158  armour:heavy weapon:bullpup
418,990,50,40,40,12,3,140,20,10,5,64158,23048,901038,PG 400 Guard Captain PL 19  eff:64158  armour:heavy weapon:bullpup
419,1070,52,40,40,13,3,143,20,10,5,64158,23049,901039,PG 400 Guard Captain PL 20  eff:64158  armour:heavy weapon:bullpup
500,400,10,40,10,3,3,60,22,10,1,,20000,901060,PG 500 Mecha Infantry PL 1  eff:0  armour:drone-infantry weapon:guard-rifle
501,440,12,40,10,3,3,65,22,10,1,,20001,901061,PG 500 Mecha Infantry PL 2  eff:0  armour:drone-infantry weapon:guard-rifle
502,480,14,40,10,4,3,70,22,10,1,,20002,901062,PG 500 Mecha Infantry PL 3  eff:0  armour:drone-infantry weapon:guard-rifle
503,530,16,40,20,5,3,75,22,10,1,,20003,901063,PG 500 Mecha Infantry PL 4  eff:0  armour:drone-infantry weapon:guard-rifle
504,580,18,40,20,6,3,80,22,10,2,,20004,901064,PG 500 Mecha Infantry PL 5  eff:0  armour:drone-infantry weapon:guard-rifle
505,650,20,40,20,7,3,86,22,10,2,,20005,901065,PG 500 Mecha Infantry PL 6  eff:0  armour:drone-infantry weapon:guard-rifle
506,730,22,40,20,7,3,90,22,10,2,,20006,901066,PG 500 Mecha Infantry PL 7  eff:0  armour:drone-infantry weapon:guard-rifle
507,820,24,40,30,8,3,90,22,10,3,,20007,901067,PG 500 Mecha Infantry PL 8  eff:0  armour:drone-infantry weapon:guard-rifle
508,920,26,40,30,8,3,90,22,10,3,,20008,901068,PG 500 Mecha Infantry PL 9  eff:0  armour:drone-infantry weapon:guard-rifle
509,1030,30,40,30,9,3,90,22,10,3,,20009,901069,PG 500 Mecha Infantry PL 10  eff:0  armour:drone-infantry weapon:guard-rifle
510,1110,32,40,30,10,3,93,22,10,3,,20010,901070,PG 500 Mecha Infantry PL 11  eff:0  armour:drone-infantry weapon:guard-rifle
511,1200,34,40,30,10,3,97,22,10,3,,20011,901071,PG 500 Mecha Infantry PL 12  eff:0  armour:drone-infantry weapon:guard-rifle
512,1300,37,40,40,11,3,100,22,10,4,,20012,901072,PG 500 Mecha Infantry PL 13  eff:0  armour:drone-infantry weapon:guard-rifle
513,1400,39,40,40,12,3,103,22,10,4,,20013,901073,PG 500 Mecha Infantry PL 14  eff:0  armour:drone-infantry weapon:guard-rifle
514,1510,41,40,40,12,3,107,22,10,4,,20014,901074,PG 500 Mecha Infantry PL 15  eff:0  armour:drone-infantry weapon:guard-rifle
515,1630,43,40,40,13,3,110,22,10,4,,20015,901075,PG 500 Mecha Infantry PL 16  eff:0  armour:drone-infantry weapon:guard-rifle
516,1760,46,40,50,14,3,113,22,10,5,,20016,901076,PG 500 Mecha Infantry PL 17  eff:0  armour:drone-infantry weapon:guard-rifle
517,1900,48,40,50,14,3,117,22,10,5,,20017,901077,PG 500 Mecha Infantry PL 18  eff:0  armour:drone-infantry weapon:guard-rifle
518,2050,50,40,50,15,3,120,22,10,5,,20018,901078,PG 500 Mecha Infantry PL 19  eff:0  armour:drone-infantry weapon:guard-rifle
519,2210,52,40,50,16,3,123,22,10,5,,20019,901079,PG 500 Mecha Infantry PL 20  eff:0  armour:drone-infantry weapon:guard-rifle
520,250,10,40,20,1,3,90,20,10,1,,23030,901020,PG 520 E-Medic PL 1  eff:0  armour:heavy weapon:bullpup
521,280,12,40,20,1,3,90,20,10,1,,23031,901021,PG 520 E-Medic PL 2  eff:0  armour:heavy weapon:bullpup
522,320,14,40,20,2,3,95,20,10,1,,23032,901022,PG 520 E-Medic PL 3  eff:0  armour:heavy weapon:bullpup
523,360,16,40,20,2,3,95,20,10,1,,23033,901023,PG 520 E-Medic PL 4  eff:0  armour:heavy weapon:bullpup
524,410,18,40,20,3,3,100,20,10,2,,23034,901024,PG 520 E-Medic PL 5  eff:0  armour:heavy weapon:bullpup
525,460,20,40,20,4,3,100,20,10,2,,23035,901025,PG 520 E-Medic PL 6  eff:0  armour:heavy weapon:bullpup
526,520,22,40,20,5,3,105,20,10,2,,23036,901026,PG 520 E-Medic PL 7  eff:0  armour:heavy weapon:bullpup
527,590,24,40,20,6,3,105,20,10,3,,23037,901027,PG 520 E-Medic PL 8  eff:0  armour:heavy weapon:bullpup
528,670,26,40,20,6,3,110,20,10,3,,23038,901028,PG 520 E-Medic PL 9  eff:0  armour:heavy weapon:bullpup
529,760,30,40,20,7,3,115,20,10,3,,23039,901029,PG 520 E-Medic PL 10  eff:0  armour:heavy weapon:bullpup
530,250,20,40,20,1,3,90,22,10,1,,22000,901020,PG 530 Suppressant PL 1  eff:0  armour:heavy weapon:shotgun
531,270,23,40,20,1,3,90,22,10,1,,22001,901021,PG 530 Suppressant PL 2  eff:0  armour:heavy weapon:shotgun
532,280,26,40,20,2,3,95,22,10,1,,22002,901022,PG 530 Suppressant PL 3  eff:0  armour:heavy weapon:shotgun
533,290,29,40,20,2,3,95,22,10,1,,22003,901023,PG 530 Suppressant PL 4  eff:0  armour:heavy weapon:shotgun
534,300,32,40,20,3,3,100,22,10,1,,22004,901024,PG 530 Suppressant PL 5  eff:0  armour:heavy weapon:shotgun
535,320,35,40,20,4,3,100,22,10,2,,22005,901025,PG 530 Suppressant PL 6  eff:0  armour:heavy weapon:shotgun
536,340,38,40,20,5,3,105,22,10,2,,22006,901026,PG 530 Suppressant PL 7  eff:0  armour:heavy weapon:shotgun
537,360,40,40,20,6,3,105,22,10,2,,22007,901027,PG 530 Suppressant PL 8  eff:0  armour:heavy weapon:shotgun
538,380,40,40,20,6,3,110,22,10,2,,22008,901028,PG 530 Suppressant PL 9  eff:0  armour:heavy weapon:shotgun
539,400,40,40,20,7,3,115,22,10,2,,22009,901029,PG 530 Suppressant PL 10  eff:0  armour:heavy weapon:shotgun
540,368,15,40,30,2,2,90,20,10,1,64149,23070,22400,PG 540 Sentinel Exec PL 1  eff:64149  armour:superheavy weapon:high-dmg-ar
541,414,17,40,30,2,2,90,20,10,1,64149,23071,22401,PG 540 Sentinel Exec PL 2  eff:64149  armour:superheavy weapon:high-dmg-ar
542,460,19,40,30,3,2,90,20,10,1,64149,23072,22402,PG 540 Sentinel Exec PL 3  eff:64149  armour:superheavy weapon:high-dmg-ar
543,515,21,40,30,3,3,90,20,10,2,64149,23073,22403,PG 540 Sentinel Exec PL 4  eff:64149  armour:superheavy weapon:high-dmg-ar
544,589,23,40,30,4,3,90,20,10,2,64149,23074,22404,PG 540 Sentinel Exec PL 5  eff:64149  armour:superheavy weapon:high-dmg-ar
545,672,25,40,30,4,4,90,20,10,2,64149,23075,22405,PG 540 Sentinel Exec PL 6  eff:64149  armour:superheavy weapon:high-dmg-ar
546,764,30,40,30,5,4,90,20,10,2,64149,23076,22406,PG 540 Sentinel Exec PL 7  eff:64149  armour:superheavy weapon:high-dmg-ar
547,874,35,40,30,6,4,90,20,10,3,64149,23077,22407,PG 540 Sentinel Exec PL 8  eff:64149  armour:superheavy weapon:high-dmg-ar
548,994,40,40,30,7,4,90,20,10,3,64149,23078,22408,PG 540 Sentinel Exec PL 9  eff:64149  armour:superheavy weapon:high-dmg-ar
549,1132,45,40,30,7,4,90,20,10,3,64149,23079,22409,PG 540 Sentinel Exec PL 10  eff:64149  armour:superheavy weapon:high-dmg-ar
560,840,32,40,20,8,3,118,20,10,3,,23040,901030,PG 520 E-Medic PL 11  eff:0  armour:heavy weapon:bullpup
561,920,34,40,20,8,3,121,20,10,3,,23041,901031,PG 520 E-Medic PL 12  eff:0  armour:heavy weapon:bullpup
