WeaponId,_clone,PowerLevel,Accuracy1,BallisticDamage1,PhysicalDamage1,PureDamage1,ActionPoints1,ArmorCritRate1,RecoilRate1,OptimalRangeA1,OptimalRangeB1,ShotVolume,FAShots,MaxRange,CritMultiBase,ReloadClipMax,AmmoUsed1,Accuracy2,BallisticDamage2,PhysicalDamage2,PureDamage2,ActionPoints2,ArmorCritRate2,RecoilRate2,OptimalRangeA2,OptimalRangeB2,_comment
900012,5016,13,74,0,633,63,20,57,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 13 (clone of 5016)
900013,5016,14,75,0,673,67,20,59,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 14 (clone of 5016)
900014,5016,15,76,0,716,72,20,61,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 15 (clone of 5016)
900015,5016,16,77,0,762,76,20,63,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 16 (clone of 5016)
900016,5016,17,77,0,811,81,20,66,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 17 (clone of 5016)
900017,5016,18,78,0,863,87,20,68,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 18 (clone of 5016)
900018,5016,19,79,0,919,92,20,70,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 19 (clone of 5016)
900019,5016,20,80,0,978,98,20,72,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 20 (clone of 5016)
23031,,2,65,205,0,0,20,30,10,0,16,35,7,22,0,0,1,68,130,,0,30,30,32,0,16,"bullpup tier PL 2 - shipped row, retuned"
23032,,3,65,215,0,0,20,30,10,0,16,35,8,22,0,0,1,70,150,,0,30,30,32,0,16,"bullpup tier PL 3 - shipped row, retuned"
23033,,4,68,225,0,0,20,30,10,0,16,40,9,23,0,0,1,72,170,,0,30,30,32,0,16,"bullpup tier PL 4 - shipped row, retuned"
23034,,5,70,235,0,0,20,30,10,0,17,40,10,24,0,0,1,72,190,,0,30,30,32,0,17,"bullpup tier PL 5 - shipped row, retuned"
23035,,6,72,240,0,0,20,30,10,0,17,45,11,24,0,0,1,75,215,,0,30,30,32,0,17,"bullpup tier PL 6 - shipped row, retuned"
23036,,7,72,250,0,0,20,30,10,0,18,45,12,24,0,0,1,75,235,,0,30,30,32,0,18,"bullpup tier PL 7 - shipped row, retuned"
23037,,8,72,260,0,0,20,30,10,0,18,45,12,24,0,0,1,75,260,,0,30,30,32,0,18,"bullpup tier PL 8 - shipped row, retuned"
23038,,9,72,270,0,0,20,30,10,0,18,45,12,24,0,0,1,75,280,,0,30,30,32,0,19,"bullpup tier PL 9 - shipped row, retuned"
23039,,10,72,300,0,0,20,30,10,0,18,45,12,24,0,0,1,75,300,,0,30,30,32,0,20,"bullpup tier PL 10 - shipped row, retuned"
23040,23039,11,73,316,0,0,20,30,10,0,18,45,13,24,0,0,1,76,335,,0,30,30,32,0,20,bullpup tier PL 11 (clone of 23039)
23041,23039,12,74,332,0,0,20,30,10,0,18,45,13,24,0,0,1,77,375,,0,30,30,32,0,21,bullpup tier PL 12 (clone of 23039)
23042,23039,13,74,349,0,0,20,30,10,0,19,45,14,25,0,0,1,78,419,,0,30,30,32,0,21,bullpup tier PL 13 (clone of 23039)
23043,23039,14,75,368,0,0,20,30,10,0,19,45,15,25,0,0,1,79,469,,0,30,30,32,0,22,bullpup tier PL 14 (clone of 23039)
23044,23039,15,76,387,0,0,20,30,10,0,19,45,15,25,0,0,1,81,524,,0,30,30,32,0,22,bullpup tier PL 15 (clone of 23039)
23045,23039,16,77,407,0,0,20,30,10,0,19,45,16,25,0,0,1,82,586,,0,30,30,32,0,23,bullpup tier PL 16 (clone of 23039)
23046,23039,17,77,428,0,0,20,30,10,0,20,45,17,26,0,0,1,83,655,,0,30,30,32,0,23,bullpup tier PL 17 (clone of 23039)
23047,23039,18,78,450,0,0,20,30,10,0,20,45,17,26,0,0,1,84,732,,0,30,30,32,0,24,bullpup tier PL 18 (clone of 23039)
23048,23039,19,79,474,0,0,20,30,10,0,20,45,18,26,0,0,1,85,818,,0,30,30,32,0,24,bullpup tier PL 19 (clone of 23039)
23049,23039,20,80,498,0,0,20,30,10,0,20,45,19,26,0,0,1,86,915,,0,30,30,32,0,24,bullpup tier PL 20 (clone of 23039)
23012,,2,65,170,0,0,20,15,8,4,16,30,7,20,0,0,1,65,85,,0,30,15,22,4,16,"corp-smg tier PL 2 - shipped row, retuned"
23013,,3,65,185,0,0,20,15,8,4,16,30,7,22,0,0,1,65,90,,0,30,15,22,4,16,"corp-smg tier PL 3 - shipped row, retuned"
23014,,4,68,200,0,0,20,20,8,4,16,30,8,22,0,0,1,68,95,,0,30,20,22,4,16,"corp-smg tier PL 4 - shipped row, retuned"
23015,,5,70,210,0,0,20,22,8,4,17,30,8,22,0,0,1,70,100,,0,30,25,22,4,17,"corp-smg tier PL 5 - shipped row, retuned"
23016,,6,70,220,0,0,20,24,8,4,17,30,9,24,0,0,1,70,105,,0,30,20,22,4,17,"corp-smg tier PL 6 - shipped row, retuned"
23017,,7,70,230,0,0,20,26,8,4,18,30,9,24,0,0,1,70,111,,0,30,20,22,4,18,"corp-smg tier PL 7 - shipped row, retuned"
23018,,8,72,240,0,0,20,28,8,4,19,30,10,24,0,0,1,70,117,,0,30,20,22,4,19,"corp-smg tier PL 8 - shipped row, retuned"
23019,,9,72,250,0,0,20,30,8,4,20,30,10,25,0,0,1,70,124,,0,30,20,22,4,20,"corp-smg tier PL 9 - shipped row, retuned"
23020,,10,74,260,0,0,20,32,8,4,20,30,11,25,0,0,1,70,131,,0,30,20,22,4,20,"corp-smg tier PL 10 - shipped row, retuned"
900030,23020,11,75,274,0,0,20,34,8,4,20,30,12,26,0,0,1,71,138,,0,30,21,22,4,20,corp-smg tier PL 11 (clone of 23020)
900031,23020,12,76,290,0,0,20,36,8,4,21,30,12,26,0,0,1,71,146,,0,30,21,22,4,21,corp-smg tier PL 12 (clone of 23020)
900032,23020,13,77,306,0,0,20,38,8,4,21,30,13,27,0,0,1,72,154,,0,30,22,22,4,21,corp-smg tier PL 13 (clone of 23020)
900033,23020,14,78,323,0,0,20,40,8,4,22,30,13,27,0,0,1,72,162,,0,30,22,22,4,22,corp-smg tier PL 14 (clone of 23020)
900034,23020,15,79,340,0,0,20,41,8,4,22,30,14,28,0,0,1,73,171,,0,30,23,22,4,22,corp-smg tier PL 15 (clone of 23020)
900035,23020,16,80,359,0,0,20,43,8,4,23,30,14,28,0,0,1,73,181,,0,30,23,22,4,23,corp-smg tier PL 16 (clone of 23020)
900036,23020,17,81,379,0,0,20,45,8,4,23,30,15,29,0,0,1,74,191,,0,30,24,22,4,23,corp-smg tier PL 17 (clone of 23020)
900037,23020,18,82,400,0,0,20,47,8,4,24,30,15,29,0,0,1,74,202,,0,30,24,22,4,24,corp-smg tier PL 18 (clone of 23020)
900038,23020,19,83,422,0,0,20,49,8,4,24,30,16,30,0,0,1,75,213,,0,30,25,22,4,24,corp-smg tier PL 19 (clone of 23020)
900039,23020,20,84,446,0,0,20,51,8,4,24,30,17,31,0,0,1,76,225,,0,30,26,22,4,24,corp-smg tier PL 20 (clone of 23020)
23061,,2,65,70,0,130,20,43,10,5,15,30,3,20,0,3,1,65,75,,80,30,40,30,5,12,"erifle tier PL 2 - shipped row, retuned"
23062,,3,65,75,0,135,20,45,10,5,15,30,4,22,0,3,1,65,80,,90,30,40,30,5,12,"erifle tier PL 3 - shipped row, retuned"
23063,,4,66,80,0,140,20,45,10,5,15,30,4,22,0,3,1,66,85,,100,30,40,30,5,12,"erifle tier PL 4 - shipped row, retuned"
23064,,5,66,85,0,145,20,45,10,4,16,30,5,24,0,3,1,66,90,,105,30,40,30,5,15,"erifle tier PL 5 - shipped row, retuned"
23065,,6,67,90,0,150,20,45,10,4,18,30,5,24,0,3,1,67,95,,110,30,40,30,5,16,"erifle tier PL 6 - shipped row, retuned"
23066,,7,67,95,0,155,20,47,10,4,18,30,6,24,0,3,1,67,100,,115,30,40,30,5,16,"erifle tier PL 7 - shipped row, retuned"
23067,,8,67,100,0,160,20,47,10,4,18,30,6,24,0,3,1,67,105,,120,30,40,30,5,16,"erifle tier PL 8 - shipped row, retuned"
23068,,9,68,105,0,165,20,50,10,4,20,30,6,24,0,3,1,68,110,,120,30,40,30,5,16,"erifle tier PL 9 - shipped row, retuned"
23069,,10,68,110,0,170,20,50,10,4,20,30,6,24,0,3,1,68,115,,125,30,40,30,5,16,"erifle tier PL 10 - shipped row, retuned"
900050,23069,11,68,117,0,176,20,51,10,4,21,30,6,24,0,3,1,68,122,,136,30,40,30,5,16,erifle tier PL 11 (clone of 23069)
900051,23069,12,69,124,0,182,20,52,10,4,21,30,7,25,0,3,1,69,128,,147,30,40,30,5,17,erifle tier PL 12 (clone of 23069)
900052,23069,13,69,131,0,188,20,53,10,4,22,30,7,25,0,3,1,69,136,,160,30,40,30,5,17,erifle tier PL 13 (clone of 23069)
900053,23069,14,69,139,0,195,20,54,10,4,22,30,7,26,0,3,1,69,143,,173,30,40,30,5,18,erifle tier PL 14 (clone of 23069)
900054,23069,15,70,147,0,202,20,56,10,4,23,30,8,26,0,3,1,70,152,,188,30,40,30,5,18,erifle tier PL 15 (clone of 23069)
900055,23069,16,70,156,0,209,20,57,10,4,23,30,8,27,0,3,1,70,160,,204,30,40,30,5,19,erifle tier PL 16 (clone of 23069)
900056,23069,17,70,166,0,216,20,58,10,4,24,30,8,27,0,3,1,70,169,,221,30,40,30,5,19,erifle tier PL 17 (clone of 23069)
900057,23069,18,71,176,0,223,20,59,10,4,24,30,9,28,0,3,1,71,179,,240,30,40,30,5,20,erifle tier PL 18 (clone of 23069)
900058,23069,19,71,186,0,231,20,60,10,4,25,30,9,28,0,3,1,71,189,,260,30,40,30,5,20,erifle tier PL 19 (clone of 23069)
900059,23069,20,71,197,0,239,20,61,10,4,26,30,9,28,0,3,1,71,200,,283,30,40,30,5,20,erifle tier PL 20 (clone of 23069)
20001,,2,65,245,0,0,20,15,12,5,24,40,5,30,0,0,1,63,170,,0,30,15,32,5,24,"guard-rifle tier PL 2 - shipped row, retuned"
20002,,3,70,250,0,0,20,15,12,5,24,45,6,30,0,0,1,66,180,,0,30,15,32,5,24,"guard-rifle tier PL 3 - shipped row, retuned"
20003,,4,76,260,0,0,20,25,12,5,24,45,6,30,0,0,1,70,185,,0,30,27,32,5,24,"guard-rifle tier PL 4 - shipped row, retuned"
20004,,5,76,270,0,0,20,25,12,6,25,45,7,30,0,0,1,70,190,,0,30,27,32,6,25,"guard-rifle tier PL 5 - shipped row, retuned"
20005,,6,76,280,0,0,20,25,12,7,25,45,7,30,0,0,1,70,200,,0,30,28,32,7,26,"guard-rifle tier PL 6 - shipped row, retuned"
20006,,7,76,300,0,0,20,25,12,8,26,45,8,30,0,0,1,70,210,,0,30,30,32,8,27,"guard-rifle tier PL 7 - shipped row, retuned"
20007,,8,76,320,0,0,20,25,12,8,26,45,8,30,0,0,1,70,225,,0,30,30,32,8,28,"guard-rifle tier PL 8 - shipped row, retuned"
20008,,9,76,334,0,0,20,25,12,8,26,45,8,30,0,0,1,70,236,,0,30,30,32,8,28,"guard-rifle tier PL 9 - shipped row, retuned"
20009,,10,76,350,0,0,20,25,12,8,26,45,8,30,0,0,1,70,248,,0,30,30,32,8,28,"guard-rifle tier PL 10 - shipped row, retuned"
20010,,11,77,365,0,0,20,26,12,8,26,45,8,30,0,0,1,71,260,,0,30,32,32,8,28,"guard-rifle tier PL 11 - shipped row, retuned"
20011,,12,79,382,0,0,20,27,12,9,26,45,9,30,0,0,1,72,273,,0,30,34,32,9,29,"guard-rifle tier PL 12 - shipped row, retuned"
20012,20009,13,80,399,0,0,20,28,12,9,26,45,9,30,0,0,1,72,287,,0,30,36,32,9,29,guard-rifle tier PL 13 (clone of 20009)
20013,20009,14,82,417,0,0,20,29,12,9,26,45,9,30,0,0,1,73,301,,0,30,38,32,9,29,guard-rifle tier PL 14 (clone of 20009)
20014,20009,15,83,436,0,0,20,31,12,10,27,45,10,30,0,0,1,74,316,,0,30,40,32,10,30,guard-rifle tier PL 15 (clone of 20009)
20015,20009,16,85,455,0,0,20,32,12,10,27,45,10,30,0,0,1,75,332,,0,30,42,32,10,30,guard-rifle tier PL 16 (clone of 20009)
20016,20009,17,86,476,0,0,20,33,12,10,27,45,10,30,0,0,1,75,349,,0,30,44,32,10,30,guard-rifle tier PL 17 (clone of 20009)
20017,20009,18,88,497,0,0,20,34,12,11,27,45,11,30,0,0,1,76,366,,0,30,46,32,11,31,guard-rifle tier PL 18 (clone of 20009)
20018,20009,19,89,520,0,0,20,35,12,11,27,45,11,30,0,0,1,77,384,,0,30,48,32,11,31,guard-rifle tier PL 19 (clone of 20009)
20019,20009,20,90,543,0,0,20,36,12,11,27,45,11,30,0,0,1,78,404,,0,30,50,32,11,31,guard-rifle tier PL 20 (clone of 20009)
900140,5012,1,72,0,358,100,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 1 (clone of 5012)
900141,5012,2,72,0,358,107,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 2 (clone of 5012)
900142,5012,3,72,0,363,113,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 3 (clone of 5012)
900143,5012,4,72,0,414,120,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 4 (clone of 5012)
900144,5012,5,72,0,456,130,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 5 (clone of 5012)
900145,5012,6,72,0,456,137,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 6 (clone of 5012)
900146,5012,7,72,0,465,147,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 7 (clone of 5012)
900147,5012,8,72,0,495,153,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 8 (clone of 5012)
900148,5012,9,72,0,526,163,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 9 (clone of 5012)
900149,5012,10,72,0,560,177,20,70,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 10 (clone of 5012)
900150,5012,11,73,0,596,187,20,72,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 11 (clone of 5012)
900151,5012,12,74,0,635,200,20,74,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 12 (clone of 5012)
900152,5012,13,74,0,675,210,20,77,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 13 (clone of 5012)
900153,5012,14,75,0,718,223,20,79,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 14 (clone of 5012)
900154,5012,15,76,0,764,240,20,81,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 15 (clone of 5012)
900155,5012,16,77,0,813,253,20,83,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 16 (clone of 5012)
900156,5012,17,77,0,865,270,20,86,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 17 (clone of 5012)
900157,5012,18,78,0,921,290,20,88,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 18 (clone of 5012)
900158,5012,19,79,0,980,307,20,90,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 19 (clone of 5012)
900159,5012,20,80,0,1043,327,20,92,5,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,heavy-blade tier PL 20 (clone of 5012)
23071,,2,70,259,0,0,20,25,10,5,25,35,4,30,0,0,1,70,161,,0,30,20,34,5,25,"high-dmg-ar tier PL 2 - shipped row, retuned"
23072,,3,70,270,0,0,20,25,10,5,25,40,5,30,0,0,1,70,184,,0,30,22,34,5,25,"high-dmg-ar tier PL 3 - shipped row, retuned"
23073,,4,72,282,0,0,20,25,10,5,24,40,5,30,0,0,1,70,196,,0,30,25,34,5,24,"high-dmg-ar tier PL 4 - shipped row, retuned"
23074,,5,74,300,0,0,20,25,10,5,24,45,6,30,0,0,1,70,216,,0,30,25,34,5,24,"high-dmg-ar tier PL 5 - shipped row, retuned"
23075,,6,76,312,0,0,20,25,10,5,24,45,6,30,0,0,1,70,222,,0,30,27,34,5,24,"high-dmg-ar tier PL 6 - shipped row, retuned"
23076,,7,76,324,0,0,20,25,10,6,25,45,7,30,0,0,1,70,228,,0,30,27,34,6,25,"high-dmg-ar tier PL 7 - shipped row, retuned"
23077,,8,76,350,0,0,20,25,10,7,25,45,7,30,0,0,1,70,250,,0,30,28,34,7,26,"high-dmg-ar tier PL 8 - shipped row, retuned"
23078,,9,76,375,0,0,20,25,10,8,26,45,8,30,0,0,1,70,262,,0,30,30,34,8,27,"high-dmg-ar tier PL 9 - shipped row, retuned"
23079,,10,76,400,0,0,20,25,10,8,26,45,8,30,0,0,1,70,281,,0,30,30,34,8,28,"high-dmg-ar tier PL 10 - shipped row, retuned"
900060,23079,11,77,425,0,0,20,25,10,8,26,45,8,30,0,0,1,70,304,,0,30,31,34,8,28,high-dmg-ar tier PL 11 (clone of 23079)
900061,23079,12,77,452,0,0,20,25,10,9,26,45,9,30,0,0,1,70,329,,0,30,32,34,9,29,high-dmg-ar tier PL 12 (clone of 23079)
900062,23079,13,78,481,0,0,20,25,10,9,27,45,9,30,0,0,1,70,356,,0,30,33,34,9,29,high-dmg-ar tier PL 13 (clone of 23079)
900063,23079,14,79,512,0,0,20,25,10,9,27,45,10,30,0,0,1,70,385,,0,30,34,34,9,30,high-dmg-ar tier PL 14 (clone of 23079)
900064,23079,15,79,544,0,0,20,25,10,10,27,45,10,30,0,0,1,70,417,,0,30,36,34,10,30,high-dmg-ar tier PL 15 (clone of 23079)
900065,23079,16,80,578,0,0,20,25,10,10,27,45,11,30,0,0,1,70,451,,0,30,37,34,10,31,high-dmg-ar tier PL 16 (clone of 23079)
900066,23079,17,81,615,0,0,20,25,10,10,28,45,11,30,0,0,1,70,489,,0,30,38,34,10,31,high-dmg-ar tier PL 17 (clone of 23079)
900067,23079,18,81,654,0,0,20,25,10,11,28,45,12,30,0,0,1,70,529,,0,30,39,34,11,32,high-dmg-ar tier PL 18 (clone of 23079)
900068,23079,19,82,696,0,0,20,25,10,11,28,45,12,30,0,0,1,70,572,,0,30,40,34,11,32,high-dmg-ar tier PL 19 (clone of 23079)
900069,23079,20,83,740,0,0,20,25,10,11,28,45,12,30,0,0,1,70,619,,0,30,41,34,11,32,high-dmg-ar tier PL 20 (clone of 23079)
23131,,2,65,172,0,40,20,45,9,8,20,30,6,22,0,0,1,65,80,,40,30,45,24,8,20,"jfam tier PL 2 - shipped row, retuned"
23132,,3,65,187,0,44,20,45,9,8,20,30,6,22,0,0,1,65,84,,43,30,45,24,8,20,"jfam tier PL 3 - shipped row, retuned"
23133,,4,65,203,0,48,20,45,9,8,20,30,6,22,0,0,1,65,89,,45,30,45,24,8,20,"jfam tier PL 4 - shipped row, retuned"
23134,,5,65,213,0,50,20,45,9,8,20,30,6,22,0,0,1,65,94,,48,30,45,24,8,20,"jfam tier PL 5 - shipped row, retuned"
23135,,6,65,223,0,52,20,45,9,8,20,30,6,22,0,0,1,65,98,,50,30,45,24,8,20,"jfam tier PL 6 - shipped row, retuned"
23136,,7,65,233,0,55,20,45,9,8,20,30,6,22,0,0,1,65,104,,53,30,45,24,8,20,"jfam tier PL 7 - shipped row, retuned"
23137,,8,65,243,0,57,20,45,9,8,20,30,6,22,0,0,1,65,110,,56,30,45,24,8,20,"jfam tier PL 8 - shipped row, retuned"
23138,,9,65,253,0,59,20,45,9,8,20,30,6,22,0,0,1,65,116,,59,30,45,24,8,20,"jfam tier PL 9 - shipped row, retuned"
23139,,10,65,263,0,62,20,45,9,8,20,30,6,22,0,0,1,65,123,,62,30,45,24,8,20,"jfam tier PL 10 - shipped row, retuned"
23140,23139,11,65,277,0,65,20,45,9,8,20,30,6,22,0,0,1,65,129,,66,30,45,24,8,20,jfam tier PL 11 (clone of 23139)
23141,23139,12,65,294,0,69,20,45,9,8,20,30,6,22,0,0,1,65,137,,69,30,45,24,8,20,jfam tier PL 12 (clone of 23139)
23142,23139,13,65,310,0,73,20,45,9,8,20,30,6,22,0,0,1,65,144,,73,30,45,24,8,20,jfam tier PL 13 (clone of 23139)
23143,23139,14,65,327,0,77,20,45,9,8,20,30,6,22,0,0,1,65,152,,77,30,45,24,8,20,jfam tier PL 14 (clone of 23139)
23144,23139,15,65,344,0,81,20,45,9,8,20,30,6,22,0,0,1,65,160,,81,30,45,24,8,20,jfam tier PL 15 (clone of 23139)
23145,23139,16,65,363,0,85,20,45,9,8,20,30,6,22,0,0,1,65,170,,86,30,45,24,8,20,jfam tier PL 16 (clone of 23139)
23146,23139,17,65,384,0,90,20,45,9,8,20,30,6,22,0,0,1,65,179,,91,30,45,24,8,20,jfam tier PL 17 (clone of 23139)
23147,23139,18,65,405,0,95,20,45,9,8,20,30,6,22,0,0,1,65,189,,96,30,45,24,8,20,jfam tier PL 18 (clone of 23139)
23148,23139,19,65,427,0,100,20,45,9,8,20,30,6,22,0,0,1,65,200,,101,30,45,24,8,20,jfam tier PL 19 (clone of 23139)
23149,23139,20,65,452,0,106,20,45,9,8,20,30,6,22,0,0,1,65,211,,107,30,45,24,8,20,jfam tier PL 20 (clone of 23139)
23091,,2,65,175,0,110,30,52,15,16,30,30,0,35,0,3,1,0,0,,0,0,0,0,0,0,"railgun tier PL 2 - shipped row, retuned"
23092,,3,65,185,0,120,30,54,15,16,30,30,0,35,0,3,1,0,0,,0,0,0,0,0,0,"railgun tier PL 3 - shipped row, retuned"
23093,,4,66,195,0,130,30,56,15,18,32,30,0,35,0,3,1,0,0,,0,0,0,0,0,0,"railgun tier PL 4 - shipped row, retuned"
23094,,5,66,205,0,140,30,58,15,20,32,30,0,35,0,3,1,0,0,,0,0,0,0,0,0,"railgun tier PL 5 - shipped row, retuned"
23095,,6,67,215,0,150,30,60,15,20,35,30,0,35,0,3,1,0,0,,0,0,0,0,0,0,"railgun tier PL 6 - shipped row, retuned"
23096,,7,67,220,0,155,30,60,15,20,32,30,0,35,0,4,1,0,0,,0,0,0,0,0,0,"railgun tier PL 7 - shipped row, retuned"
23097,,8,67,225,0,160,30,60,15,20,32,33,0,35,0,4,1,0,0,,0,0,0,0,0,0,"railgun tier PL 8 - shipped row, retuned"
23098,,9,68,230,0,165,30,60,15,20,32,35,0,35,0,4,1,0,0,,0,0,0,0,0,0,"railgun tier PL 9 - shipped row, retuned"
23099,,10,68,235,0,170,30,60,15,20,32,35,0,35,0,4,1,0,0,,0,0,0,0,0,0,"railgun tier PL 10 - shipped row, retuned"
900080,23099,11,68,244,0,180,30,61,15,20,32,35,0,35,0,4,1,0,0,,0,0,0,0,0,0,railgun tier PL 11 (clone of 23099)
900081,23099,12,69,254,0,191,30,62,15,21,32,35,0,35,0,4,1,0,0,,0,0,0,0,0,0,railgun tier PL 12 (clone of 23099)
900082,23099,13,69,264,0,203,30,63,15,21,33,35,0,35,0,4,1,0,0,,0,0,0,0,0,0,railgun tier PL 13 (clone of 23099)
900083,23099,14,69,275,0,215,30,64,15,22,33,35,0,35,0,4,1,0,0,,0,0,0,0,0,0,railgun tier PL 14 (clone of 23099)
900084,23099,15,70,286,0,228,30,66,15,22,33,35,0,35,0,5,1,0,0,,0,0,0,0,0,0,railgun tier PL 15 (clone of 23099)
900085,23099,16,70,297,0,242,30,67,15,23,33,35,0,35,0,5,1,0,0,,0,0,0,0,0,0,railgun tier PL 16 (clone of 23099)
900086,23099,17,70,309,0,257,30,68,15,23,34,35,0,35,0,5,1,0,0,,0,0,0,0,0,0,railgun tier PL 17 (clone of 23099)
900087,23099,18,71,322,0,272,30,69,15,24,34,35,0,35,0,5,1,0,0,,0,0,0,0,0,0,railgun tier PL 18 (clone of 23099)
900088,23099,19,71,335,0,289,30,70,15,24,34,35,0,35,0,5,1,0,0,,0,0,0,0,0,0,railgun tier PL 19 (clone of 23099)
900089,23099,20,71,348,0,307,30,71,15,24,34,35,0,35,0,5,1,0,0,,0,0,0,0,0,0,railgun tier PL 20 (clone of 23099)
21002,,2,55,120,0,82,20,18,10,5,18,36,0,25,60,0,1,0,0,,0,0,0,0,0,0,"revolver tier PL 2 - shipped row, retuned"
21003,,3,55,131,0,90,20,18,10,5,18,37,0,26,70,0,1,0,0,,0,0,0,0,0,0,"revolver tier PL 3 - shipped row, retuned"
21004,,4,58,142,0,98,20,20,10,7,20,38,0,26,70,0,1,0,0,,0,0,0,0,0,0,"revolver tier PL 4 - shipped row, retuned"
21005,,5,59,150,0,105,20,20,10,7,20,39,0,26,70,0,1,0,0,,0,0,0,0,0,0,"revolver tier PL 5 - shipped row, retuned"
21006,,6,70,210,0,150,20,22,10,7,20,40,0,28,75,0,1,0,0,,0,0,0,0,0,0,"revolver tier PL 6 - shipped row, retuned"
