ArmorId,_clone,PowerLevel,BallisticArmor,PhysicalArmor,BallisticArmorDegraded,PhysicalArmorDegraded,MaxArmorPoints,InitPenalty,MovementRate,CarryCapacity,_comment
22516,,6,79,68,33,28,3,0,0,2,"hovertank tier PL 6 - shipped row, retuned"
22517,,7,81,68,35,30,3,0,0,2,"hovertank tier PL 7 - shipped row, retuned"
22518,,8,83,69,38,32,3,0,0,2,"hovertank tier PL 8 - shipped row, retuned"
22519,,9,84,71,40,34,3,0,0,2,"hovertank tier PL 9 - shipped row, retuned"
22520,,10,86,72,42,35,3,0,0,2,"hovertank tier PL 10 - shipped row, retuned"
901050,22520,11,87,73,44,37,3,0,0,2,hovertank tier PL 11 (clone of 22520)
901051,22520,12,89,74,46,39,3,0,0,2,hovertank tier PL 12 (clone of 22520)
901052,22520,13,90,76,48,40,3,0,0,2,hovertank tier PL 13 (clone of 22520)
901053,22520,14,91,77,50,42,3,0,0,2,hovertank tier PL 14 (clone of 22520)
901054,22520,15,92,78,51,43,4,0,0,2,hovertank tier PL 15 (clone of 22520)
901055,22520,16,92,79,53,45,4,0,0,2,hovertank tier PL 16 (clone of 22520)
901056,22520,17,93,80,55,46,4,0,0,2,hovertank tier PL 17 (clone of 22520)
901057,22520,18,94,81,56,48,4,0,0,2,hovertank tier PL 18 (clone of 22520)
901058,22520,19,94,81,58,49,4,0,0,2,hovertank tier PL 19 (clone of 22520)
901059,22520,20,95,82,59,50,4,0,0,2,hovertank tier PL 20 (clone of 22520)
22522,,1,65,58,20,18,3,0,0,2,"lighter-drone tier PL 1 - shipped row, retuned"
22523,,2,70,63,23,21,3,0,0,2,"lighter-drone tier PL 2 - shipped row, retuned"
22524,,3,74,67,26,23,3,0,0,2,"lighter-drone tier PL 3 - shipped row, retuned"
22525,,4,75,68,29,25,3,0,0,2,"lighter-drone tier PL 4 - shipped row, retuned"
22526,,5,78,71,32,28,3,0,0,2,"lighter-drone tier PL 5 - shipped row, retuned"
22527,,6,80,73,35,30,3,0,0,2,"lighter-drone tier PL 6 - shipped row, retuned"
22528,,7,82,76,38,32,3,0,0,2,"lighter-drone tier PL 7 - shipped row, retuned"
22529,,8,84,78,40,34,4,0,0,2,"lighter-drone tier PL 8 - shipped row, retuned"
22530,,9,86,80,43,36,4,0,0,2,"lighter-drone tier PL 9 - shipped row, retuned"
22531,,10,87,81,45,38,4,0,0,2,"lighter-drone tier PL 10 - shipped row, retuned"
22532,22531,11,89,83,47,40,4,0,0,2,lighter-drone tier PL 11 (clone of 22531)
22533,22531,12,90,85,49,42,4,0,0,2,lighter-drone tier PL 12 (clone of 22531)
22534,22531,13,91,86,51,44,4,0,0,2,lighter-drone tier PL 13 (clone of 22531)
22535,22531,14,92,87,53,45,4,0,0,2,lighter-drone tier PL 14 (clone of 22531)
22536,22531,15,93,88,55,47,5,0,0,2,lighter-drone tier PL 15 (clone of 22531)
22537,22531,16,93,89,57,49,5,0,0,2,lighter-drone tier PL 16 (clone of 22531)
22538,22531,17,94,90,59,50,5,0,0,2,lighter-drone tier PL 17 (clone of 22531)
22539,22531,18,95,91,61,52,5,0,0,2,lighter-drone tier PL 18 (clone of 22531)
22540,22531,19,101,92,62,53,5,0,0,2,lighter-drone tier PL 19 (clone of 22531)
22541,22531,20,107,92,64,55,5,0,0,2,lighter-drone tier PL 20 (clone of 22531)
22100,,1,0,0,40,26,0,0,0,2,"sniper tier PL 1 - shipped row, retuned"
22101,,2,0,0,43,30,0,0,0,2,"sniper tier PL 2 - shipped row, retuned"
22102,,3,0,0,46,33,0,0,0,2,"sniper tier PL 3 - shipped row, retuned"
22103,,4,0,0,49,36,0,0,0,2,"sniper tier PL 4 - shipped row, retuned"
22104,,5,0,0,51,39,0,0,0,2,"sniper tier PL 5 - shipped row, retuned"
22105,,6,0,0,54,42,0,0,0,2,"sniper tier PL 6 - shipped row, retuned"
22116,22105,7,0,0,56,45,0,0,0,2,sniper tier PL 7 (clone of 22105)
22117,22105,8,0,0,59,47,0,0,0,2,sniper tier PL 8 (clone of 22105)
22118,22105,9,0,0,61,50,0,0,0,2,sniper tier PL 9 (clone of 22105)
22119,22105,10,0,0,63,52,0,0,0,2,sniper tier PL 10 (clone of 22105)
22106,22105,11,0,0,65,54,0,0,0,2,sniper tier PL 11 (clone of 22105)
22107,22105,12,0,0,67,57,0,0,0,2,sniper tier PL 12 (clone of 22105)
22108,22105,13,0,0,68,59,0,0,0,2,sniper tier PL 13 (clone of 22105)
22109,22105,14,0,0,70,61,0,0,0,2,sniper tier PL 14 (clone of 22105)
22110,22105,15,0,0,71,62,0,0,0,2,sniper tier PL 15 (clone of 22105)
22111,22105,16,0,0,73,64,0,0,0,2,sniper tier PL 16 (clone of 22105)
22112,22105,17,0,0,74,66,0,0,0,2,sniper tier PL 17 (clone of 22105)
22113,22105,18,0,0,76,67,0,0,0,2,sniper tier PL 18 (clone of 22105)
22114,22105,19,0,0,77,69,0,0,0,2,sniper tier PL 19 (clone of 22105)
22115,22105,20,0,0,78,70,0,0,0,2,sniper tier PL 20 (clone of 22105)
22400,,1,65,65,20,20,2,-2,0,2,"superheavy tier PL 1 - shipped row, retuned"
22401,,2,74,74,23,23,3,-2,0,2,"superheavy tier PL 2 - shipped row, retuned"
22402,,3,78,78,27,27,3,-2,0,2,"superheavy tier PL 3 - shipped row, retuned"
22403,,4,83,81,30,30,3,-2,0,2,"superheavy tier PL 4 - shipped row, retuned"
22404,,5,87,87,33,33,4,-4,0,2,"superheavy tier PL 5 - shipped row, retuned"
22405,,6,90,88,36,35,4,-4,0,2,"superheavy tier PL 6 - shipped row, retuned"
22406,,7,92,90,38,38,4,-4,0,2,"superheavy tier PL 7 - shipped row, retuned"
22407,,8,94,92,42,41,4,-4,0,2,"superheavy tier PL 8 - shipped row, retuned"
22408,,9,95,93,44,43,4,-4,0,2,"superheavy tier PL 9 - shipped row, retuned"
22409,,10,96,95,46,45,4,-4,0,2,"superheavy tier PL 10 - shipped row, retuned"
22410,22409,11,102,101,48,48,4,-4,0,2,superheavy tier PL 11 (clone of 22409)
22411,22409,12,108,107,51,50,4,-4,0,2,superheavy tier PL 12 (clone of 22409)
22412,22409,13,114,113,53,52,5,-4,0,2,superheavy tier PL 13 (clone of 22409)
22413,22409,14,121,120,55,54,5,-4,0,2,superheavy tier PL 14 (clone of 22409)
22414,22409,15,128,127,57,56,5,-4,0,2,superheavy tier PL 15 (clone of 22409)
22415,22409,16,136,135,58,58,5,-4,0,2,superheavy tier PL 16 (clone of 22409)
22416,22409,17,144,143,60,59,6,-4,0,2,superheavy tier PL 17 (clone of 22409)
22417,22409,18,153,151,62,61,6,-4,0,2,superheavy tier PL 18 (clone of 22409)
22418,22409,19,162,161,64,63,6,-4,0,2,superheavy tier PL 19 (clone of 22409)
22419,22409,20,172,170,65,64,6,-4,0,2,superheavy tier PL 20 (clone of 22409)
22500,,1,65,73,18,20,2,0,0,2,"turret tier PL 1 - shipped row, retuned"
22501,,2,70,78,21,23,2,0,0,2,"turret tier PL 2 - shipped row, retuned"
22502,,3,74,83,23,25,2,0,0,2,"turret tier PL 3 - shipped row, retuned"
22503,,4,75,85,25,28,2,0,0,2,"turret tier PL 4 - shipped row, retuned"
22504,,5,77,90,28,30,3,0,0,2,"turret tier PL 5 - shipped row, retuned"
22505,,6,79,90,30,33,3,0,0,2,"turret tier PL 6 - shipped row, retuned"
22506,,7,81,92,32,35,3,0,0,2,"turret tier PL 7 - shipped row, retuned"
22507,,8,83,93,34,37,3,0,0,2,"turret tier PL 8 - shipped row, retuned"
22508,,9,84,95,36,39,3,0,0,2,"turret tier PL 9 - shipped row, retuned"
22509,,10,86,101,38,41,3,0,0,2,"turret tier PL 10 - shipped row, retuned"
901040,22509,11,87,107,40,43,3,0,0,2,turret tier PL 11 (clone of 22509)
901041,22509,12,89,113,42,45,3,0,0,2,turret tier PL 12 (clone of 22509)
901042,22509,13,90,120,44,47,3,0,0,2,turret tier PL 13 (clone of 22509)
901043,22509,14,91,127,45,49,3,0,0,2,turret tier PL 14 (clone of 22509)
901044,22509,15,92,135,47,51,4,0,0,2,turret tier PL 15 (clone of 22509)
901045,22509,16,92,143,49,52,4,0,0,2,turret tier PL 16 (clone of 22509)
901046,22509,17,93,151,50,54,4,0,0,2,turret tier PL 17 (clone of 22509)
901047,22509,18,94,161,52,56,4,0,0,2,turret tier PL 18 (clone of 22509)
901048,22509,19,94,170,53,57,4,0,0,2,turret tier PL 19 (clone of 22509)
901049,22509,20,95,180,55,59,4,0,0,2,turret tier PL 20 (clone of 22509)
